REQUERIMIENTOS BACKOFFICE (DATOS DE EJEMPLO)

N°;Fecha de Solicitud;Tipo de Solicitud;Asignado a;Fecha de Atencion;Estado
66;21/05/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
67;14/05/2026;OTROS;ASISTENTE2;16/05/2026;ATENDIDO
68;01/05/2026;CONSULTA SALDO;ASISTENTE2;06/05/2026;ATENDIDO
69;18/05/2026;APERTURA CUENTA;ANALISTA1;19/05/2026;ATENDIDO
70;19/05/2026;ACTUALIZACION DATOS;ANALISTA1;23/05/2026;ATENDIDO
71;06/05/2026;CONSULTA SALDO;ASISTENTE2;11/05/2026;ATENDIDO
72;20/05/2026;ACTUALIZACION DATOS;ASISTENTE1;23/05/2026;ATENDIDO
73;26/05/2026;RECLAMO;ASISTENTE1;27/05/2026;ATENDIDO
74;02/05/2026;RECLAMO;ASISTENTE1;04/05/2026;ATENDIDO
75;01/05/2026;OTROS;ASISTENTE2;;PENDIENTE
76;03/05/2026;CONSULTA SALDO;ASISTENTE2;06/05/2026;ATENDIDO
77;28/05/2026;CONSULTA SALDO;ANALISTA1;;PENDIENTE
78;02/05/2026;ABONO CTS;ASISTENTE1;06/05/2026;ATENDIDO
79;20/05/2026;CONSULTA SALDO;ANALISTA1;;PENDIENTE
80;09/05/2026;RECLAMO;ANALISTA1;11/05/2026;ATENDIDO
81;17/05/2026;ACTUALIZACION DATOS;ASISTENTE1;;PENDIENTE
82;11/05/2026;OTROS;ANALISTA1;;PENDIENTE
83;06/05/2026;OTROS;ASISTENTE1;;PENDIENTE
84;22/05/2026;CONSULTA SALDO;ANALISTA1;;PENDIENTE
85;25/06/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
86;17/06/2026;OTROS;ASISTENTE1;22/06/2026;ATENDIDO
87;15/06/2026;APERTURA CUENTA;ANALISTA1;;PENDIENTE
88;17/06/2026;APERTURA CUENTA;ANALISTA1;21/06/2026;ATENDIDO
89;09/06/2026;ACTUALIZACION DATOS;ANALISTA1;09/06/2026;ATENDIDO
90;13/06/2026;ABONO CTS;ANALISTA1;14/06/2026;ATENDIDO
91;22/06/2026;ACTUALIZACION DATOS;ASISTENTE2;27/06/2026;ATENDIDO
92;18/06/2026;ACTUALIZACION DATOS;ANALISTA1;23/06/2026;ATENDIDO
93;13/06/2026;CONSULTA SALDO;ASISTENTE2;15/06/2026;ATENDIDO
94;27/06/2026;RECLAMO;ASISTENTE1;01/07/2026;ATENDIDO
95;09/06/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
96;27/06/2026;ABONO CTS;ANALISTA1;;PENDIENTE
97;14/06/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
98;03/06/2026;APERTURA CUENTA;ASISTENTE2;05/06/2026;ATENDIDO
99;20/06/2026;CONSULTA SALDO;ASISTENTE2;22/06/2026;ATENDIDO
100;05/06/2026;APERTURA CUENTA;ANALISTA1;;PENDIENTE
101;21/06/2026;APERTURA CUENTA;ASISTENTE1;21/06/2026;ATENDIDO
102;07/06/2026;RECLAMO;ASISTENTE1;;PENDIENTE
103;01/06/2026;ACTUALIZACION DATOS;ASISTENTE2;05/06/2026;ATENDIDO
104;09/06/2026;RECLAMO;ASISTENTE1;11/06/2026;ATENDIDO
105;15/06/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
106;05/06/2026;ABONO CTS;ASISTENTE2;05/06/2026;ATENDIDO
107;25/06/2026;ACTUALIZACION DATOS;ANALISTA1;;PENDIENTE
108;30/06/2026;RECLAMO;ASISTENTE2;;PENDIENTE
109;30/06/2026;RECLAMO;ANALISTA1;;PENDIENTE
110;02/06/2026;RECLAMO;ASISTENTE1;02/06/2026;ATENDIDO
111;23/06/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
112;21/06/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
113;15/06/2026;ABONO CTS;ASISTENTE2;;PENDIENTE
114;04/06/2026;APERTURA CUENTA;ASISTENTE2;06/06/2026;ATENDIDO
115;04/06/2026;CONSULTA SALDO;ASISTENTE1;09/06/2026;ATENDIDO
116;19/06/2026;APERTURA CUENTA;ANALISTA1;22/06/2026;ATENDIDO
117;02/06/2026;APERTURA CUENTA;ASISTENTE1;;PENDIENTE
118;14/06/2026;ABONO CTS;ASISTENTE2;;PENDIENTE
119;08/06/2026;APERTURA CUENTA;ASISTENTE2;08/06/2026;ATENDIDO
120;29/06/2026;ACTUALIZACION DATOS;ASISTENTE2;30/06/2026;ATENDIDO
121;03/07/2026;OTROS;ASISTENTE1;;PENDIENTE
122;31/07/2026;OTROS;ASISTENTE1;03/08/2026;ATENDIDO
123;14/07/2026;CONSULTA SALDO;ASISTENTE1;19/07/2026;ATENDIDO
124;13/07/2026;ABONO CTS;ANALISTA1;;PENDIENTE
125;15/07/2026;RECLAMO;ANALISTA1;17/07/2026;ATENDIDO
126;04/07/2026;APERTURA CUENTA;ASISTENTE1;;PENDIENTE
127;16/07/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
128;08/07/2026;RECLAMO;ASISTENTE1;08/07/2026;ATENDIDO
129;18/07/2026;OTROS;ASISTENTE2;18/07/2026;ATENDIDO
130;05/07/2026;RECLAMO;ANALISTA1;08/07/2026;ATENDIDO
131;17/07/2026;CONSULTA SALDO;ASISTENTE2;20/07/2026;ATENDIDO
132;26/07/2026;APERTURA CUENTA;ASISTENTE2;28/07/2026;ATENDIDO
133;29/07/2026;RECLAMO;ASISTENTE2;02/08/2026;ATENDIDO
134;28/07/2026;RECLAMO;ANALISTA1;31/07/2026;ATENDIDO
135;22/07/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
136;01/07/2026;ACTUALIZACION DATOS;ASISTENTE1;01/07/2026;ATENDIDO
137;17/07/2026;ABONO CTS;ANALISTA1;18/07/2026;ATENDIDO
138;11/07/2026;APERTURA CUENTA;ASISTENTE1;;PENDIENTE
139;24/07/2026;ACTUALIZACION DATOS;ANALISTA1;27/07/2026;ATENDIDO
140;31/07/2026;OTROS;ASISTENTE1;;PENDIENTE
141;27/07/2026;ABONO CTS;ASISTENTE1;29/07/2026;ATENDIDO
142;09/07/2026;RECLAMO;ASISTENTE2;;PENDIENTE
143;23/07/2026;APERTURA CUENTA;ANALISTA1;;PENDIENTE
144;04/07/2026;ACTUALIZACION DATOS;ANALISTA1;08/07/2026;ATENDIDO
145;17/07/2026;OTROS;ASISTENTE1;;PENDIENTE
146;08/07/2026;ACTUALIZACION DATOS;ASISTENTE1;;PENDIENTE
147;17/07/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
148;17/07/2026;APERTURA CUENTA;ASISTENTE1;21/07/2026;ATENDIDO
149;13/07/2026;APERTURA CUENTA;ANALISTA1;15/07/2026;ATENDIDO
150;02/07/2026;CONSULTA SALDO;ASISTENTE1;;PENDIENTE
151;07/07/2026;ABONO CTS;ANALISTA1;08/07/2026;ATENDIDO
152;04/07/2026;OTROS;ASISTENTE2;;PENDIENTE
153;14/07/2026;ABONO CTS;ANALISTA1;17/07/2026;ATENDIDO
154;23/07/2026;APERTURA CUENTA;ANALISTA1;;PENDIENTE
155;06/07/2026;ACTUALIZACION DATOS;ASISTENTE1;;PENDIENTE
156;18/07/2026;APERTURA CUENTA;ANALISTA1;18/07/2026;ATENDIDO
157;26/07/2026;CONSULTA SALDO;ASISTENTE1;27/07/2026;ATENDIDO
158;27/07/2026;OTROS;ASISTENTE1;;PENDIENTE
159;24/07/2026;ACTUALIZACION DATOS;ASISTENTE1;29/07/2026;ATENDIDO
160;02/07/2026;ABONO CTS;ASISTENTE1;05/07/2026;ATENDIDO
161;22/07/2026;ACTUALIZACION DATOS;ASISTENTE1;27/07/2026;ATENDIDO
162;04/07/2026;OTROS;ASISTENTE1;;PENDIENTE
163;27/07/2026;OTROS;ANALISTA1;27/07/2026;ATENDIDO
